| text                                                                                                                                                                                                                                                                                                                                                                                                    |   Emotion |   EmotionalPolarity |   Empathy |
| I am inclined to disagree. More money is only a temporary solution. I think they need lasting change                                                                                                                                                                                                                                                                                                    |         2 |                   2 |         3 |
| Yes, I hear there is a lot of corruption there as well, that is also a problem. Money is short term                                                                                                                                                                                                                                                                                                     |         2 |                   2 |         4 |
| Yes corruption is a huge problem. I think the NGO's and the UN should focus more on teaching the Haitian people to help themselves and develop the country                                                                                                                                                                                                                                              |         2 |                   2 |         2 |
| Yes getting a better government is the best way to help any region. Most countries, do not absolutely need outside for every disaster                                                                                                                                                                                                                                                                   |         2 |                   1 |         3 |
| I don't think the US wants a ''better'' government. They want a government they can control or influence. Corruption helps with that agenda                                                                                                                                                                                                                                                             |         3 |                   2 |         2 |
| Yes two things can be true at once though. They want a better government but also try to get power and control in the process.                                                                                                                                                                                                                                                                          |         2 |                   1 |         3 |
| Do you think the United States has a vested interest in a developed and autonomous Haiti? I don't think so                                                                                                                                                                                                                                                                                              |         2 |                   2 |         1 |
| Yeah I would not count on it. So you think the change should come from within?                                                                                                                                                                                                                                                                                                                          |         2 |                   1 |         3 |
| Yes. I think that is the only way to get lasting long term and meaningful change. We have to help them help themselves                                                                                                                                                                                                                                                                                  |         3 |                   0 |         2 |
| Yes that is why I think giving them aid, with no strings attached, is a good way to do this.                                                                                                                                                                                                                                                                                                            |         3 |                   0 |         3 |
| I disagree. With all the corruption it would just be money wasted. We should control the funds and focus more on sending people and material                                                                                                                                                                                                                                                            |         3 |                   2 |         2 |
| Yeah but you can not have it both ways, either we send money and get power and control, or we send it no strings attached. So I think there might have to be strings actually, as you reminded me of the corruption.                                                                                                                                                                                    |         3 |                   1 |         2 |
| Some other questions would be how much money and how long would we have to be involved?                                                                                                                                                                                                                                                                                                                 |         2 |                   1 |         1 |
| I think the article said the UN was looking to send $800 million. No more then ten years in my opinion                                                                                                                                                                                                                                                                                                  |         1 |                   1 |         2 |
| I think 10 years is a good figure. But it seems like any problems Haiti has are only made worse by natural disasters. And no one can stop those                                                                                                                                                                                                                                                         |         3 |                   1 |         2 |
| Yes there will always be disasters. Until the core problem of the country is fixed, I think we will always have to be ready to help.                                                                                                                                                                                                                                                                    |         3 |                   1 |         2 |
| That might take a lot longer than 10 years. It might be a good idea if the UN established permanent or semi permanent facilitiesc                                                                                                                                                                                                                                                                       |         2 |                   1 |         3 |
| Yes I think if we could supply them advisers and disaster professionals they could greatly benefit                                                                                                                                                                                                                                                                                                      |         2 |                   0 |         2 |
| True, but who would want to go there long term? I know I wouldn't. It's so far away and so different                                                                                                                                                                                                                                                                                                    |         2 |                   1 |         2 |
| I probably would not. We would have to compensate those individuals well.                                                                                                                                                                                                                                                                                                                               |         2 |                   1 |         2 |
| The compensation would have to be high to motivate the right people                                                                                                                                                                                                                                                                                                                                     |         2 |                   1 |         3 |
| Yeah but I think the fact they would be helping those in need, could also be a motivation                                                                                                                                                                                                                                                                                                               |         2 |                   0 |         2 |
| True but would it be enough to keep them from their friends and family for long durations?                                                                                                                                                                                                                                                                                                              |         2 |                   1 |         2 |
| Probably different for each person, I am optimistic though.                                                                                                                                                                                                                                                                                                                                             |         2 |                   0 |         2 |
| Yes I can see that. It has been nice chatting. We have to bring our conversation to a conclusion                                                                                                                                                                                                                                                                                                        |         1 |                   1 |         1 |
| Yes this has been enjoyable. bye                                                                                                                                                                                                                                                                                                                                                                        |         1 |                   0 |         1 |
| goodbye                                                                                                                                                                                                                                                                                                                                                                                                 |         1 |                   1 |         1 |
| Please, what did you think about the article                                                                                                                                                                                                                                                                                                                                                            |         1 |                   1 |         1 |
